,VAT_calculation,authority_notice_created,direct_bank_transfer_created,expense_invoice,mass_letter_created,memo_voucher,new_receipts,payment_reminder_created,purchase_invoice,purchase_order,salary_slip,sales_invoice,sales_order,travel_invoice
2021-01-01,118.0,74.0,303.0,79.0,0.0,1183.0,1326.0,88.0,12591.0,1.0,296.0,8049.0,7.0,106.0
2021-01-02,321.0,136.0,285.0,80.0,0.0,1583.0,1692.0,124.0,4703.0,0.0,426.0,6529.0,12.0,93.0
2021-01-03,390.0,255.0,443.0,134.0,0.0,2156.0,2748.0,150.0,3233.0,1.0,690.0,7816.0,18.0,165.0
2021-01-04,2014.0,1587.0,1973.0,770.0,0.0,14536.0,5313.0,1126.0,58151.0,49.0,10586.0,76376.0,442.0,814.0
2021-01-05,2428.0,1763.0,1406.0,545.0,6.0,18974.0,4445.0,1013.0,39097.0,46.0,7327.0,34170.0,349.0,563.0
2021-01-06,859.0,547.0,535.0,161.0,0.0,6793.0,2772.0,202.0,50217.0,2.0,1473.0,6591.0,56.0,228.0
2021-01-07,3043.0,2314.0,1742.0,638.0,3.0,21825.0,4748.0,1884.0,34563.0,111.0,5519.0,32304.0,470.0,578.0
2021-01-08,3250.0,2491.0,1056.0,545.0,0.0,22728.0,3846.0,1135.0,49878.0,69.0,3645.0,21722.0,420.0,500.0
2021-01-09,620.0,472.0,208.0,102.0,0.0,5175.0,1984.0,61.0,7615.0,0.0,419.0,2664.0,22.0,57.0
2021-01-10,832.0,598.0,447.0,137.0,2.0,5860.0,2560.0,42.0,3585.0,33.0,340.0,5751.0,20.0,125.0
2021-01-11,5061.0,4026.0,1495.0,643.0,1.0,28882.0,5812.0,1874.0,39845.0,110.0,6504.0,42247.0,471.0,489.0
2021-01-12,5526.0,4311.0,1836.0,554.0,0.0,29375.0,4799.0,1421.0,36563.0,59.0,8008.0,19077.0,452.0,411.0
2021-01-13,2115.0,1215.0,1215.0,478.0,2.0,18171.0,3868.0,1125.0,33372.0,64.0,7348.0,18203.0,413.0,490.0
2021-01-14,2006.0,1116.0,1827.0,474.0,4.0,16579.0,3783.0,1306.0,27746.0,66.0,5371.0,19473.0,433.0,440.0
2021-01-15,2084.0,1119.0,931.0,440.0,0.0,16404.0,3809.0,798.0,32057.0,54.0,2680.0,23054.0,424.0,452.0
2021-01-16,221.0,109.0,142.0,61.0,1.0,2872.0,1217.0,53.0,8485.0,0.0,218.0,2385.0,21.0,63.0
2021-01-17,472.0,190.0,331.0,131.0,1.0,3928.0,2029.0,110.0,3152.0,0.0,375.0,3578.0,19.0,97.0
2021-01-18,2303.0,1304.0,1330.0,622.0,0.0,19441.0,3868.0,1251.0,39646.0,71.0,4630.0,29699.0,512.0,546.0
2021-01-19,2380.0,1282.0,1247.0,497.0,2.0,20053.0,3952.0,1637.0,36701.0,54.0,5225.0,17599.0,420.0,394.0
2021-01-20,2356.0,1371.0,1041.0,440.0,9.0,19286.0,3874.0,1430.0,30518.0,57.0,4024.0,18709.0,419.0,349.0
2021-01-21,2566.0,1293.0,1123.0,546.0,6.0,20303.0,3953.0,951.0,31260.0,60.0,3828.0,17677.0,425.0,414.0
2021-01-22,2256.0,1242.0,1120.0,492.0,3.0,16590.0,3243.0,838.0,28242.0,38.0,2916.0,19054.0,413.0,411.0
2021-01-23,388.0,203.0,227.0,89.0,0.0,4905.0,1533.0,40.0,5939.0,1.0,245.0,2388.0,15.0,66.0
